PvOutput,airTemp,humidity,insolation,windSpeed
0.20956,0.61513,0.47608,0.14608,0.15393
0.77542,0.6199,0.46604,0.53798,0.19008
0.71989,0.64493,0.3847,0.56552,0.18595
0.7079,0.65645,0.35067,0.55043,0.16219
0.60554,0.65477,0.37075,0.49212,0.18492
0.38163,0.65477,0.38092,0.27728,0.18595
0.76286,0.65392,0.38248,0.62115,0.18698
0.76429,0.6573,0.39343,0.61104,0.18698
0.15325,0.6483,0.39082,0.22466,0.17975
0.37487,0.62693,0.4268,0.21584,0.17872
0.64906,0.65364,0.40164,0.49727,0.19215
0.63491,0.66601,0.36345,0.49391,0.15186
0.68338,0.66826,0.37713,0.53307,0.15806
0.44205,0.66854,0.39604,0.51413,0.15186
0.16593,0.64408,0.42172,0.12745,0.16942
0.19374,0.63621,0.43593,0.14485,0.12397
0.16889,0.63256,0.41742,0.12597,0.14566
0.12369,0.6289,0.4182,0.094107,0.12397
0.11382,0.62356,0.42693,0.084065,0.16116
0.39103,0.63621,0.41298,0.24915,0.16839
0.2055,0.63846,0.39721,0.15981,0.17045
0.44813,0.64549,0.39851,0.3206,0.16632
0.11222,0.6424,0.37375,0.20341,0.19731
0.24809,0.63256,0.38092,0.18092,0.15186
0.27838,0.64352,0.3903,0.249,0.15702
0.23725,0.64464,0.4036,0.22515,0.16322
0.19748,0.63537,0.40425,0.20013,0.19938
0.16059,0.63537,0.39682,0.17558,0.15083
0.1315,0.6348,0.41859,0.15156,0.12913
0.094417,0.63115,0.42081,0.12112,0.14979
0.075363,0.62581,0.42302,0.10292,0.14979
0.053565,0.61934,0.44192,0.083799,0.16322
0.023575,0.61259,0.4633,0.039594,0.11054
0.010069,0.59994,0.50241,0.009223,0.15806
0.006077,0.58982,0.53031,0.0069938,0.11364
0.053212,0.43857,0.79351,0.040652,0.16426
0.073029,0.43942,0.78816,0.050673,0.17252
0.08988,0.44335,0.78073,0.065985,0.16839
0.099452,0.44729,0.77213,0.0722,0.18388
0.13346,0.45235,0.76053,0.095371,0.1436
0.16326,0.45909,0.74606,0.11734,0.1095
0.19199,0.46331,0.73498,0.1367,0.15909
0.25334,0.47118,0.7222,0.17824,0.16632
0.26157,0.48355,0.70473,0.1896,0.17562
0.29522,0.49424,0.68505,0.20668,0.15599
0.43449,0.50295,0.67084,0.28283,0.19731
0.4897,0.51307,0.65676,0.33335,0.22107
0.49465,0.52151,0.6462,0.33234,0.22314
0.52945,0.5336,0.63486,0.35246,0.17769
0.46715,0.54793,0.61335,0.36678,0.16839
0.46453,0.56058,0.59627,0.35003,0.18802
0.32893,0.57239,0.58037,0.26104,0.18388
0.55494,0.58167,0.57215,0.41225,0.17252
0.55646,0.58954,0.56173,0.35614,0.1343
0.61816,0.60191,0.54882,0.46255,0.1281
0.6217,0.61456,0.53096,0.46502,0.1064
0.6266,0.62384,0.51506,0.47447,0.14153
0.63525,0.63031,0.50072,0.48457,0.091942
0.64109,0.64155,0.48142,0.49191,0.14876
0.65558,0.65027,0.46044,0.50265,0.10744
0.6855,0.66685,0.43723,0.54512,0.085744
0.4929,0.66629,0.41103,0.40438,0.15599
0.63228,0.66854,0.41559,0.41141,0.066116
0.56617,0.67585,0.37805,0.58771,0.10434
0.48781,0.67726,0.38704,0.34797,0.073347
0.33567,0.66742,0.41781,0.2791,0.13533
0.45801,0.66011,0.4388,0.2771,0.084711
0.61412,0.67079,0.41846,0.41674,0.075413
0.66596,0.68794,0.38196,0.54745,0.081612
0.53102,0.70734,0.34872,0.52638,0.1126
0.12451,0.68147,0.35914,0.16731,0.12397
0.33015,0.66545,0.38626,0.17813,0.08781
0.60937,0.69075,0.35445,0.46747,0.12603
0.60226,0.70059,0.34572,0.46416,0.14876
0.66144,0.71184,0.34389,0.52621,0.10847
0.38665,0.71802,0.34063,0.48939,0.10434
0.22624,0.69384,0.34885,0.22254,0.12087
0.49023,0.67248,0.36175,0.22553,0.080579
0.51124,0.69694,0.34011,0.39532,0.10434
0.46058,0.69834,0.3319,0.36766,0.097107
0.4128,0.70931,0.32955,0.33296,0.1126
0.36618,0.70059,0.34037,0.3094,0.14566
0.38696,0.70537,0.34441,0.31632,0.084711
0.31205,0.70931,0.36618,0.30771,0.075413
0.16384,0.69581,0.39539,0.13377,0.11467
0.20413,0.68344,0.42367,0.18384,0.13636
0.13476,0.67388,0.43293,0.15782,0.15393
0.079239,0.67248,0.43606,0.087785,0.14463
0.078211,0.66095,0.4461,0.075494,0.16632
0.088296,0.65308,0.46839,0.091552,0.18802
